customer_id,age,income,tenure_years,region,channel,target_copy,approved_after_review,outcome
customer-0144,34.0,30694.065337299693,16.0,north,store,1,1,1
customer-0145,51.0,31142.664467866027,7.0,west,store,0,0,0
customer-0146,30.0,42402.236002514735,17.0,east,web,0,0,0
customer-0147,21.0,21956.9276994559,10.0,west,partner,0,0,0
customer-0148,19.0,17434.77876922453,6.0,east,web,0,0,0
customer-0149,23.0,29844.883224080713,0.0,south,store,0,0,0
customer-0150,28.0,47616.18723209818,10.0,east,store,1,1,1
customer-0151,58.0,70176.74564970008,11.0,east,web,1,1,1
customer-0152,35.0,47977.808516821926,17.0,south,web,1,1,1
customer-0153,23.0,18644.92408222966,12.0,,web,1,1,1
customer-0154,19.0,31332.33027155766,0.0,west,partner,0,0,0
customer-0155,46.0,38475.86497955498,10.0,west,web,0,0,0
customer-0156,66.0,37219.50642556493,13.0,west,web,1,1,1
customer-0157,38.0,43325.98771954036,8.0,south,store,0,0,0
customer-0158,22.0,23501.968027726896,7.0,north,web,0,0,0
customer-0159,32.0,35499.5783089316,14.0,south,partner,0,0,0
