row_id,age,income,tenure_years,region,channel,churned
row-0050,62.0,79907.65820320485,14.0,south,store,1
row-0051,30.0,117456.3713227571,9.0,east,web,1
row-0052,39.0,41111.861588620945,5.0,north,web,1
row-0053,45.0,22797.222551070416,9.0,east,web,1
row-0054,47.0,,17.0,east,store,1
row-0055,21.0,38655.28614198437,15.0,north,web,0
row-0056,50.0,24552.39636258741,15.0,north,web,0
row-0057,27.0,29014.470019746666,8.0,south,web,1
row-0058,61.0,26713.366694911023,14.0,east,web,1
row-0059,57.0,32560.911939856687,6.0,west,web,0
row-0060,71.0,54052.533591698884,12.0,south,store,1
row-0061,61.0,36899.76267097511,11.0,south,web,1
row-0062,39.0,32317.797654777172,4.0,west,store,0
row-0063,74.0,22359.921662863813,4.0,south,partner,0
row-0064,42.0,17096.570438502415,1.0,south,web,0
row-0065,37.0,28162.61528198497,2.0,south,web,0
row-0066,70.0,33772.81029682207,7.0,north,store,0
row-0067,40.0,72586.2336512086,8.0,south,web,1
row-0068,23.0,36487.14548392688,2.0,east,web,0
row-0069,45.0,52195.44944197739,7.0,west,partner,1
row-0070,64.0,28009.411246054566,10.0,east,partner,0
row-0071,29.0,21000.963951508256,4.0,,store,0
row-0072,45.0,23032.256291627215,6.0,east,web,0
row-0073,26.0,25473.78219174237,6.0,north,store,0
row-0074,58.0,84453.5778327047,9.0,south,store,1
row-0075,46.0,24465.45972619631,6.0,west,web,0
row-0076,37.0,49127.06901160643,13.0,north,store,0
row-0077,31.0,23641.775754166778,5.0,west,web,0
row-0078,51.0,51085.73942913837,7.0,east,web,1
row-0079,57.0,40606.336537518044,6.0,south,web,1
row-0080,72.0,32344.914431594105,3.0,west,web,1
row-0081,43.0,33957.99976729123,12.0,west,web,1
row-0082,28.0,26238.65982259433,4.0,north,store,0
row-0083,66.0,41662.23344444758,5.0,north,partner,0
row-0084,54.0,28535.577990441456,14.0,east,store,1
row-0085,,,17.0,west,store,1
row-0086,24.0,20196.532672625763,12.0,north,partner,0
row-0087,36.0,37141.37756807624,16.0,east,web,1
row-0088,,67051.63865380388,15.0,north,web,1
row-0089,66.0,36945.40190755927,8.0,east,web,1
row-0090,,32865.274829327405,13.0,east,web,0
row-0091,64.0,38950.50352292064,5.0,north,store,0
row-0092,66.0,59785.637261467375,8.0,east,web,1
row-0093,41.0,37878.56449917438,9.0,west,web,1
row-0094,,29068.50495372096,17.0,west,web,1
row-0095,35.0,54975.409169573126,15.0,north,web,1
row-0096,32.0,41360.33894541278,8.0,north,partner,0
row-0097,,65842.28345555648,11.0,north,web,1
row-0098,55.0,37307.828524858785,3.0,south,web,1
row-0099,26.0,20655.212889012055,14.0,north,web,1
row-0100,66.0,19445.54232330358,9.0,west,web,0
row-0101,30.0,69105.50899468263,9.0,west,store,1
row-0102,64.0,71249.2522065379,13.0,west,web,1
row-0103,,32035.56370397364,11.0,,web,1
row-0104,64.0,29409.15575615385,1.0,north,web,1
row-0105,63.0,63819.02374715059,5.0,west,store,1
row-0106,,21699.420053835947,3.0,south,store,0
row-0107,56.0,23723.33998567353,13.0,east,store,0
row-0108,45.0,45260.82983078266,0.0,west,store,0
row-0109,59.0,29268.462449615796,3.0,north,store,1
row-0110,34.0,34470.14327370344,10.0,north,web,1
row-0111,63.0,32252.601402677745,12.0,north,web,1
row-0112,50.0,39806.33344894969,9.0,north,web,1
row-0113,45.0,62388.8830198007,15.0,north,web,1
row-0114,47.0,35883.95938721362,16.0,west,store,0
row-0115,51.0,45272.465142940186,2.0,east,web,1
row-0116,21.0,14602.20345036693,17.0,west,store,0
row-0117,26.0,33844.71956983936,11.0,west,partner,1
row-0118,32.0,24242.032519368742,11.0,west,web,0
row-0119,25.0,20704.33783657954,1.0,north,partner,0
row-0120,44.0,23889.06270785613,11.0,south,store,0
row-0121,,30021.4725086533,13.0,west,partner,1
row-0122,56.0,50750.617676197486,10.0,north,web,1
row-0123,45.0,19789.663967718272,1.0,north,web,0
row-0124,67.0,34991.667016771244,9.0,east,web,1
row-0125,,28187.92117386169,16.0,west,web,0
row-0126,23.0,30102.915315064667,13.0,west,web,0
row-0127,62.0,52636.14271522801,2.0,west,partner,1
row-0128,,43304.35488054175,17.0,north,store,1
row-0129,55.0,60579.219767623814,17.0,west,web,1
row-0130,,32373.893302630862,3.0,west,web,1
row-0131,50.0,25789.020107524946,14.0,east,web,1
row-0132,24.0,31444.497825240076,7.0,west,web,0
row-0133,50.0,38248.08039845043,10.0,west,partner,0
row-0134,64.0,37203.60002894783,8.0,south,web,1
row-0135,36.0,21906.901642752426,14.0,north,web,0
row-0136,53.0,35882.52575783742,17.0,south,store,1
row-0137,,38019.554507667286,14.0,north,web,1
row-0138,38.0,99442.92055388827,16.0,north,web,1
row-0139,43.0,75983.74666592138,17.0,north,store,1
row-0140,75.0,24140.296878292,1.0,east,store,0
row-0141,31.0,30616.641750043043,4.0,east,partner,0
row-0142,34.0,18682.720892424957,12.0,east,store,0
row-0143,42.0,26954.433041219683,10.0,east,web,0
row-0144,75.0,39440.7214742905,0.0,east,store,1
row-0145,67.0,57323.0746602499,1.0,east,partner,0
row-0146,20.0,25432.541340048123,9.0,north,store,0
row-0147,32.0,26245.72756046157,11.0,west,partner,1
row-0148,65.0,14018.576298126876,3.0,south,store,0
row-0149,22.0,32263.12813583415,3.0,north,partner,0
row-0150,67.0,22110.014883738233,2.0,west,web,0
row-0151,35.0,27657.03598287407,10.0,east,store,0
row-0152,71.0,23902.025258279416,0.0,north,web,0
row-0153,35.0,33203.47198220372,10.0,north,store,0
row-0154,43.0,,8.0,north,store,1
row-0155,56.0,18654.4685505084,8.0,south,partner,0
row-0156,,84481.1563795988,12.0,north,partner,1
row-0157,,20116.2357321967,9.0,east,web,0
row-0158,47.0,21793.129903082492,13.0,east,store,0
row-0159,,74720.04550391308,13.0,west,store,1
row-0160,75.0,117023.28500097529,16.0,,web,1
row-0161,56.0,21119.287804913445,14.0,east,web,1
row-0162,42.0,29594.252174109657,9.0,east,web,1
row-0163,42.0,39872.94614379739,8.0,,store,0
row-0164,42.0,71399.99016983945,4.0,north,web,0
row-0165,65.0,22822.907536369163,10.0,east,partner,0
row-0166,37.0,31162.891929253892,2.0,north,web,0
row-0167,28.0,47881.37045409288,16.0,north,partner,0
row-0168,38.0,41464.86625032506,15.0,north,web,1
row-0169,20.0,29496.133032255937,2.0,west,store,0
row-0170,25.0,,14.0,south,web,1
row-0171,24.0,19390.601336811324,2.0,east,store,0
row-0172,62.0,31256.012214713843,12.0,south,store,1
row-0173,,30887.82135211352,1.0,north,partner,0
row-0174,,38082.54629434025,8.0,south,store,1
row-0175,45.0,27357.953448942302,11.0,north,web,0
row-0176,59.0,42110.23827223388,13.0,west,web,1
row-0177,28.0,52856.74684864291,7.0,north,web,0
row-0178,70.0,36874.67638563216,16.0,south,web,1
row-0179,47.0,40044.14267655725,13.0,west,store,0
