row_id,age,income,tenure_years,region,channel,annual_spend
row-20085,71.0,35093.09819796479,3.0,south,web,131.03907341126776
row-20086,23.0,33250.80344518735,10.0,west,web,121.36212198975046
row-20087,33.0,34099.92091581618,16.0,west,web,155.35247613860483
row-20088,75.0,31569.99597077841,6.0,south,store,145.98424038831897
row-20089,60.0,18851.89900987223,9.0,east,store,135.80015276243412
row-20090,23.0,27807.623488550573,12.0,north,store,131.8087868404573
row-20091,,,2.0,north,partner,139.81353729121062
row-20092,,19444.112325652186,16.0,south,web,121.56124061382373
row-20093,24.0,31900.810154827508,3.0,west,store,105.03391701282084
row-20094,42.0,24482.24279607218,14.0,east,store,146.51199560585047
row-20095,45.0,36198.29076806015,11.0,south,web,145.31737990452368
row-20096,26.0,,2.0,south,partner,95.62663107834437
row-20097,30.0,64247.965654381565,13.0,north,web,189.5832633112123
row-20098,28.0,42734.632017327815,3.0,south,partner,118.66286309568558
row-20099,29.0,19911.29963412346,10.0,north,store,133.24987607387175
row-20100,42.0,45794.33923057438,17.0,north,web,172.4825526945786
row-20101,45.0,24950.427127453204,17.0,east,store,151.67397126817335
row-20102,32.0,27110.0970954176,15.0,north,web,136.43284232211437
row-20103,35.0,39411.14756717414,8.0,north,store,145.3764043960824
row-20104,29.0,28098.34856633051,10.0,east,store,123.89652392304608
row-20105,64.0,50261.740622300174,5.0,south,store,156.24905252939203
row-20106,31.0,24951.913064307733,16.0,south,partner,120.79129801884713
row-20107,70.0,26636.625545311465,8.0,north,web,155.20538774060176
row-20108,49.0,26221.218403328745,13.0,,web,136.08503863857908
row-20109,64.0,27239.726659614716,6.0,south,web,116.822388295443
row-20110,,54811.782192014514,13.0,east,web,190.37676057568117
row-20111,34.0,44985.452707255776,4.0,south,web,133.14828423092584
row-20112,,70839.81360520837,13.0,east,web,214.8619405779712
row-20113,34.0,89537.29896301813,0.0,east,web,187.32080697067863
row-20114,25.0,22406.331330496927,1.0,south,web,82.60192406383445
row-20115,33.0,35581.31905537666,6.0,south,partner,122.60383057371345
row-20116,,21078.226495200535,8.0,south,web,102.09892526372371
row-20117,26.0,24919.490078330047,12.0,north,partner,131.44344785476997
row-20118,20.0,26512.33421307513,6.0,east,web,107.35463480244013
row-20119,72.0,22158.910020742765,0.0,east,web,136.533419641092
row-20120,,22207.988497949766,5.0,south,web,117.28345500601267
row-20121,,32513.171431172766,7.0,south,web,112.41926239344774
row-20122,72.0,20722.560485170492,9.0,south,web,147.54132976785166
row-20123,31.0,49202.185530125025,11.0,east,web,155.49669824711427
row-20124,41.0,,4.0,west,web,132.66471306029197
row-20125,67.0,112422.45425481554,10.0,north,web,293.32716724826946
row-20126,55.0,28578.74476856071,11.0,south,store,127.79828556494842
row-20127,41.0,35605.21552444436,13.0,north,web,163.76069784354024
row-20128,33.0,20049.44401698926,9.0,south,store,101.02142981562143
row-20129,21.0,,14.0,,web,139.68031003242675
row-20130,23.0,55281.317199653495,3.0,south,partner,134.83668191614464
row-20131,28.0,39132.34593356849,12.0,south,store,142.47289529794446
row-20132,,19620.749427547733,0.0,south,partner,88.45892094334404
row-20133,55.0,37740.16113964469,1.0,south,store,123.33512322348287
row-20134,43.0,21568.710611754974,15.0,west,web,141.1255155490327
row-20135,63.0,63843.44608268846,8.0,west,web,198.1279408780429
row-20136,28.0,48526.3286007159,11.0,north,web,170.91218666132005
row-20137,31.0,35957.19190619817,10.0,south,store,121.98368115348705
row-20138,41.0,12415.76383767298,12.0,west,store,103.80680628672015
row-20139,71.0,22855.916462674813,4.0,east,web,129.60981969124327
row-20140,54.0,46113.43763191908,3.0,north,partner,156.82440674811448
row-20141,67.0,57492.57859392523,0.0,,web,173.64226277145823
row-20142,33.0,55041.973121365845,15.0,north,store,195.49484803410715
row-20143,67.0,17700.612793398566,4.0,north,store,128.965007163371
row-20144,23.0,39208.62271706706,10.0,east,web,148.92936720737106
row-20145,31.0,52918.929581789016,8.0,east,store,169.85768012903944
row-20146,48.0,17214.357663228875,2.0,west,store,100.92532890964708
row-20147,21.0,,7.0,south,web,105.24675759919872
row-20148,67.0,38754.95150101337,1.0,west,web,153.46006379756884
row-20149,68.0,30445.055358854363,3.0,south,web,127.04046158108268
row-20150,49.0,,2.0,east,store,132.48315637501682
row-20151,36.0,30127.895843830673,14.0,north,web,148.61460858650003
row-20152,24.0,30107.564133807973,10.0,north,partner,126.73281391663156
row-20153,54.0,32461.485047202812,16.0,west,partner,149.61175155859718
row-20154,,27264.533607844136,7.0,west,web,128.62687867666722
row-20155,,28679.414960496902,3.0,west,web,111.235315063469
row-20156,53.0,33973.06763832213,10.0,south,store,160.47632006046095
row-20157,26.0,,16.0,north,store,148.49748492171264
row-20158,,30398.26336466447,9.0,west,web,124.89571772212713
row-20159,63.0,29084.115647389666,0.0,east,web,131.2971444803786
row-20160,,35910.6323392539,5.0,,web,143.0711428616519
row-20161,72.0,,16.0,west,partner,176.75212759860256
row-20162,25.0,42207.56517196575,9.0,west,web,141.41704469925955
row-20163,60.0,34536.20590331483,17.0,south,partner,148.69947693276129
row-20164,,35125.10096818451,9.0,west,web,136.0450706324344
row-20165,44.0,51715.271782575524,0.0,west,partner,135.8575975699003
row-20166,22.0,15211.659381753585,15.0,east,web,100.9521681229952
row-20167,68.0,15077.9663442466,13.0,east,web,142.23581115453712
row-20168,29.0,38754.32397608811,12.0,south,partner,118.53169261285913
row-20169,49.0,34441.27300528845,17.0,west,partner,152.50653774532054
row-20170,75.0,37103.78689917907,3.0,west,web,146.59532379067468
row-20171,61.0,,16.0,west,web,162.78099914834246
row-20172,21.0,45662.311509115694,4.0,east,web,135.568326779123
row-20173,65.0,51108.61301066343,17.0,north,web,212.10198085931253
row-20174,28.0,42330.898673097305,3.0,south,web,123.55293923119415
row-20175,61.0,,9.0,south,partner,149.06668612898872
row-20176,54.0,14253.680844256573,14.0,west,web,135.76621079191452
row-20177,35.0,47718.72738010343,1.0,east,store,138.4646622700918
row-20178,43.0,57706.554360325965,1.0,east,web,161.18409984620564
row-20179,25.0,45284.24837596151,15.0,north,web,172.0069684773766
